id;symbol;updated_at;price_change;price_percent_change;market_price;market_cap;volume;avg_volume;low;high;open;close;previous_close;bid;ask;bid_vol;ask_vol;fifty_two_week_low;fifty_two_week_high;beta;pe_ratio;eps
1;optical Burkina Cambridgeshire;2021-08-09T06:27:58;Designer syndicate bypass;invoice;60352;Unbranded;96073;33500;34915;55698;13426;7168;90778;74776;2145;49140;54597;68555;58679;93243;30784;60140
2;compress eyeballs haptic;2021-08-09T01:16:34;override Hat;didactic;55429;Unbranded Concrete indexing;84270;22034;7716;50190;3242;38643;82657;65189;55388;1492;59;56119;51294;18349;93071;85969
3;open;2021-08-09T03:35:39;Minnesota Turkey;24/7 Ergonomic Refined;86286;Steel payment Iowa;49991;99974;57651;61750;68468;17094;90854;88257;47034;65511;48754;57026;65452;28110;95960;44108
4;Liaison payment virtual;2021-08-09T15:32:18;Architect Granite Bacon;Table Democratic Illinois;88573;Towels forecast wireless;60573;72067;88288;11559;78018;87029;83937;14713;66348;59601;61195;62078;17202;24210;90365;1623
5;Burundi;2021-08-09T08:25:16;Front-line deposit Garden;zero haptic;71013;Research parse Account;89720;39408;96582;86545;84560;42682;99593;65288;10218;33555;91269;64069;47148;4514;35572;1836
6;Loan Malaysian;2021-08-09T20:11:20;zero Dominica Rest;compressing user-centric holistic;19744;Concrete Awesome Koruna;12018;31483;6641;44229;51163;40000;88924;1154;35531;87379;7857;58257;42592;2112;10062;10816
7;Consultant COM;2021-08-09T12:42:48;Multi-lateral Kip;Automotive Fresh;76873;hardware;9418;48898;26232;19012;97060;76515;81056;2843;20302;74046;57714;61605;49658;66559;42204;59781
8;vortals;2021-08-09T20:37:06;Infrastructure Tasty Chicken;utilisation Realigned;28625;Madagascar;50327;91392;82022;25086;22022;95894;1183;6664;20542;46171;41371;37857;54244;80859;73000;61271
9;primary Jamaica;2021-08-09T02:45:21;indexing synergize Wooden;Berkshire Buckinghamshire;67602;array Dynamic;87856;75342;16372;63412;36051;18796;29700;87724;65851;9991;26629;38075;46043;25852;84002;95775
10;Loan;2021-08-09T02:49:30;solutions Virginia Sleek;Accountability Baby;37047;bluetooth Industrial;20342;27656;62577;11345;90720;15925;7452;31898;1277;81767;69496;84748;64366;54092;32310;31380
